reference,1.124000,,,,,,
refine,tri,dif3d_sol,dif3d_err,dif3d_rat,fem_sol,fem_err,fem_rat
0,1,1.127280,-328.02,4.40,1.117613,638.71,3.28
1,2,1.124746,-74.62,299.91,1.122053,194.71,3.12
2,4,1.124002,-0.25,-0.01,1.123376,62.42,1.64
3,8,1.123800,19.96,0.79,1.123620,37.99,1.28
4,16,1.123747,25.26,0.95,1.123703,29.69,1.07
5,32,1.123734,26.63,,1.123724,27.65,
