refine,tri,dif3d_sol,dif3d_err,dif3d_rat,fem_sol,fem_err,fem_rat
0,1,0.994802,-342.38,2.62,0.973228909865535,1814.91,3.23
1,2,0.992683,-130.52,3.09,0.985766172634947,561.18,3.65
2,4,0.991800,-42.20,3.57,0.989840,153.83,2.52
3,8,0.991496,-11.83,3.74,0.990766738544994,61.13,2.43
4,16,0.991410,-3.16,3.53,0.991126525931117,25.15,2.16
5,32,0.991387,-0.90,2.79,0.991261582812969,11.64,2.03
6,64,0.991381,-0.32,,0.991320716379502,5.73,
