refine,tri,dif3d_sol,dif3d_err,dif3d_rat,fem_sol,fem_err,fem_rat
0,1,0.982228,-415.13,2.61,0.959683207322838,1839.38,3.45
1,2,0.979670,-159.34,3.07,0.972744103543189,533.29,4.47
2,4,0.978595,-51.84,3.57,0.976883677587205,119.33,3.15
3,8,0.978222,-14.50,3.87,0.977697904140086,37.91,3.48
4,16,0.978114,-3.74,4.12,0.977968188223938,10.88,3.17
5,32,0.978086,-0.91,4.89,0.978042621642386,3.44,2.71
6,64,0.978079,-0.19,,0.978064330975337,1.27,
