refine,tri,dif3d_sol,dif3d_err,dif3d_rat,fem_sol,fem_err,fem_rat
0,1,1.002669,283.82,1.65,0.996237,927.02,5.31
1,2,1.003784,172.35,2.85,1.003760,174.74,5.43
2,4,1.004903,60.37,3.64,1.005185,32.16,3.12
3,8,1.005341,16.57,4.08,1.005404,10.30,2.97
4,16,1.005466,4.06,4.90,1.005472,3.47,2.77
5,32,1.005499,0.83,59.37,1.005494,1.25,3.00
6,64,1.005507,0.01,,1.005503,0.42,

