refine,tri,dif3d_sol,dif3d_err,dif3d_rat,fem_sol,fem_err,fem_rat
0,1,1.008886,81.38,1.06,1.005932,376.80,5.23
1,2,1.008935,76.49,3.01,1.008980,72.00,5.61
2,4,1.009446,25.37,7.07,1.009572,12.82,3.82
3,8,1.009664,3.59,-1.31,1.009666,3.35,4.44
4,16,1.009727,-2.74,0.62,1.009692,0.76,3.38
5,32,1.009744,-4.39,,1.009698,0.22,
