K_ANALYTIC,0.982622,,,,,,,,,,,,DF,1.2,2.777778E-01
refine,k_eff,k_err,k_ratio,rms,rms_ratio,L1,L1_ratio,L2,L2_ratio,Linf,Linf_ratio,,SRF,0.02,2.000000E-02
0,0.977882,473.94,3.89,1.70E-02,3.75,9.64E-01,0.97,1.52E-01,1.98,3.86E-02,3.74,,nusf,0.02,2.000000E-02
1,0.981404,121.79,3.97,4.53E-03,3.91,9.91E-01,1.01,7.67E-02,2.01,1.03E-02,3.94,,DR,1,3.333333E-01
2,0.982315,30.70,3.99,1.16E-03,3.95,9.80E-01,1.01,3.81E-02,2.00,2.62E-03,4.00,,SRR,0.001,1.000000E-03
3,0.982545,7.69,4.00,2.93E-04,3.96,9.75E-01,1.00,1.90E-02,1.99,6.55E-04,4.02,,,,
4,0.982602,1.92,4.00,7.40E-05,3.96,9.78E-01,0.99,9.54E-03,1.98,1.63E-04,4.02,,,,
5,0.982617,0.48,,1.87E-05,,9.86E-01,,4.81E-03,,4.05E-05,,,LF=80,,
