refine,k_eff,k_err,k_ratio,rms,rms_ratio,L1,L1_ratio,L2,L2_ratio,Linf,Linf_ratio
0,1.983243,1281.65,4.03,1.90E-02,1.66,2.37E+00,0.43,2.59E-01,0.86,6.63E-02,1.49
1,1.992884,317.64,3.96,1.15E-02,2.65,5.56E+00,0.68,3.02E-01,1.35,4.45E-02,2.59
2,1.995258,80.16,3.98,4.32E-03,3.43,8.16E+00,0.87,2.24E-01,1.73,1.72E-02,3.41
3,1.995858,20.15,3.99,1.26E-03,3.88,9.36E+00,0.97,1.30E-01,1.95,5.04E-03,3.87
4,1.996009,5.05,4.00,3.25E-04,3.96,9.63E+00,0.99,6.66E-02,1.98,1.30E-03,3.96
5,1.996047,1.26,4.00,8.20E-05,3.93,9.71E+00,0.99,3.36E-02,1.96,3.28E-04,3.93
6,1.996057,0.32,,2.09E-05,,9.83E+00,,1.71E-02,,8.34E-05,
