refine,k_eff,k_err,k_ratio,rms,rms_ratio,L1,L1_ratio,L2,L2_ratio,Linf,Linf_ratio
0,1.991780,624.77,4.02,3.29E-02,1.77,4.23E+00,0.46,4.48E-01,0.91,9.18E-02,1.70
1,1.996474,155.37,3.96,1.86E-02,2.67,9.17E+00,0.69,4.90E-01,1.36,5.41E-02,2.40
2,1.997635,39.27,3.98,6.96E-03,3.53,1.32E+01,0.90,3.61E-01,1.78,2.26E-02,3.42
3,1.997929,9.88,3.99,1.97E-03,3.84,1.48E+01,0.97,2.03E-01,1.93,6.60E-03,3.84
4,1.998003,2.47,4.00,5.13E-04,3.98,1.52E+01,1.00,1.05E-01,1.99,1.72E-03,3.96
5,1.998022,0.62,4.00,1.29E-04,3.98,1.53E+01,1.00,5.30E-02,2.00,4.35E-04,3.99
6,1.998026,0.15,,3.24E-05,,1.53E+01,,2.65E-02,,1.09E-04,
