z,qppp,qp,h,Tinf,TC,TB,TF,T0,Tcool,Tclad,Tbond,Tfuel
0.291491E-01,0.379596E+07,0.247469E+03,0.400679E+03,0.401095E+03,0.415308E+03,0.420299E+03,0.450572E+03,0.400679E+03,0.407812E+03,0.417684E+03,0.435436E+03
0.301902E-01,0.393116E+07,0.247528E+03,0.400679E+03,0.401109E+03,0.415829E+03,0.420998E+03,0.452349E+03,0.400679E+03,0.408066E+03,0.418289E+03,0.436674E+03
0.312312E-01,0.406632E+07,0.247588E+03,0.400679E+03,0.401124E+03,0.416350E+03,0.421697E+03,0.454126E+03,0.400679E+03,0.408320E+03,0.418895E+03,0.437911E+03
0.322723E-01,0.420144E+07,0.247651E+03,0.400679E+03,0.401139E+03,0.416870E+03,0.422395E+03,0.455902E+03,0.400679E+03,0.408574E+03,0.419500E+03,0.439148E+03
0.333133E-01,0.433652E+07,0.247716E+03,0.400679E+03,0.401154E+03,0.417391E+03,0.423093E+03,0.457677E+03,0.400679E+03,0.408828E+03,0.420105E+03,0.440385E+03
0.343544E-01,0.447156E+07,0.247783E+03,0.400679E+03,0.401168E+03,0.417911E+03,0.423791E+03,0.459452E+03,0.400679E+03,0.409082E+03,0.420710E+03,0.441622E+03
0.353954E-01,0.460655E+07,0.247852E+03,0.400679E+03,0.401183E+03,0.418432E+03,0.424489E+03,0.461227E+03,0.400679E+03,0.409335E+03,0.421315E+03,0.442858E+03
0.364364E-01,0.474149E+07,0.247923E+03,0.400679E+03,0.401198E+03,0.418952E+03,0.425186E+03,0.463000E+03,0.400679E+03,0.409589E+03,0.421920E+03,0.444093E+03
0.374775E-01,0.487639E+07,0.247996E+03,0.400679E+03,0.401213E+03,0.419472E+03,0.425884E+03,0.464773E+03,0.400679E+03,0.409842E+03,0.422524E+03,0.445328E+03
0.385185E-01,0.501125E+07,0.248071E+03,0.401267E+03,0.401815E+03,0.420578E+03,0.427168E+03,0.467133E+03,0.401267E+03,0.410683E+03,0.423715E+03,0.447150E+03
0.395596E-01,0.514605E+07,0.248148E+03,0.401267E+03,0.401829E+03,0.421098E+03,0.427865E+03,0.468905E+03,0.401267E+03,0.410936E+03,0.424319E+03,0.448385E+03
0.406006E-01,0.528080E+07,0.248227E+03,0.401267E+03,0.401844E+03,0.421617E+03,0.428561E+03,0.470676E+03,0.401267E+03,0.411189E+03,0.424923E+03,0.449619E+03
0.416416E-01,0.541550E+07,0.248308E+03,0.401267E+03,0.401859E+03,0.422136E+03,0.429257E+03,0.472446E+03,0.401267E+03,0.411443E+03,0.425526E+03,0.450852E+03
0.426827E-01,0.555015E+07,0.248392E+03,0.401267E+03,0.401874E+03,0.422655E+03,0.429953E+03,0.474216E+03,0.401267E+03,0.411696E+03,0.426129E+03,0.452085E+03
0.437237E-01,0.568474E+07,0.248477E+03,0.401267E+03,0.401888E+03,0.423174E+03,0.430649E+03,0.475985E+03,0.401267E+03,0.411948E+03,0.426732E+03,0.453317E+03
0.447648E-01,0.581927E+07,0.248564E+03,0.401267E+03,0.401903E+03,0.423692E+03,0.431344E+03,0.477753E+03,0.401267E+03,0.412201E+03,0.427335E+03,0.454549E+03
0.458058E-01,0.595375E+07,0.248654E+03,0.401267E+03,0.401918E+03,0.424210E+03,0.432039E+03,0.479521E+03,0.401267E+03,0.412454E+03,0.427937E+03,0.455780E+03
0.468468E-01,0.608817E+07,0.248745E+03,0.401267E+03,0.401932E+03,0.424728E+03,0.432734E+03,0.481288E+03,0.401267E+03,0.412706E+03,0.428539E+03,0.457011E+03
0.478879E-01,0.622252E+07,0.248838E+03,0.401855E+03,0.402534E+03,0.425833E+03,0.434015E+03,0.483641E+03,0.401855E+03,0.413546E+03,0.429728E+03,0.458828E+03
0.489289E-01,0.635682E+07,0.248934E+03,0.401855E+03,0.402549E+03,0.426351E+03,0.434710E+03,0.485406E+03,0.401855E+03,0.413798E+03,0.430330E+03,0.460058E+03
0.499700E-01,0.649105E+07,0.249032E+03,0.401855E+03,0.402564E+03,0.426868E+03,0.435403E+03,0.487170E+03,0.401855E+03,0.414051E+03,0.430931E+03,0.461287E+03
0.510110E-01,0.662522E+07,0.249131E+03,0.401855E+03,0.402578E+03,0.427385E+03,0.436097E+03,0.488934E+03,0.401855E+03,0.414303E+03,0.431532E+03,0.462515E+03
0.520521E-01,0.675933E+07,0.249233E+03,0.401855E+03,0.402593E+03,0.427902E+03,0.436790E+03,0.490696E+03,0.401855E+03,0.414555E+03,0.432133E+03,0.463743E+03
0.530931E-01,0.689336E+07,0.249336E+03,0.401855E+03,0.402608E+03,0.428419E+03,0.437483E+03,0.492458E+03,0.401855E+03,0.414806E+03,0.432733E+03,0.464970E+03
0.541341E-01,0.702733E+07,0.249442E+03,0.401855E+03,0.402622E+03,0.428935E+03,0.438175E+03,0.494219E+03,0.401855E+03,0.415058E+03,0.433333E+03,0.466197E+03
0.551752E-01,0.716123E+07,0.249550E+03,0.401855E+03,0.402637E+03,0.429451E+03,0.438867E+03,0.495979E+03,0.401855E+03,0.415310E+03,0.433933E+03,0.467423E+03
0.562162E-01,0.729506E+07,0.249660E+03,0.402442E+03,0.403239E+03,0.430554E+03,0.440146E+03,0.498325E+03,0.402442E+03,0.416148E+03,0.435120E+03,0.469235E+03
0.572573E-01,0.742882E+07,0.249771E+03,0.402442E+03,0.403253E+03,0.431069E+03,0.440837E+03,0.500083E+03,0.402442E+03,0.416400E+03,0.435719E+03,0.470460E+03
0.582983E-01,0.756250E+07,0.249885E+03,0.402442E+03,0.403268E+03,0.431584E+03,0.441528E+03,0.501840E+03,0.402442E+03,0.416651E+03,0.436318E+03,0.471684E+03
0.593393E-01,0.769611E+07,0.250001E+03,0.402442E+03,0.403282E+03,0.432099E+03,0.442219E+03,0.503596E+03,0.402442E+03,0.416902E+03,0.436916E+03,0.472907E+03
0.603804E-01,0.782964E+07,0.250119E+03,0.402442E+03,0.403297E+03,0.432614E+03,0.442909E+03,0.505351E+03,0.402442E+03,0.417153E+03,0.437514E+03,0.474130E+03
0.614214E-01,0.796309E+07,0.250239E+03,0.402442E+03,0.403311E+03,0.433128E+03,0.443599E+03,0.507105E+03,0.402442E+03,0.417403E+03,0.438112E+03,0.475352E+03
0.624625E-01,0.809647E+07,0.250361E+03,0.402442E+03,0.403326E+03,0.433642E+03,0.444288E+03,0.508858E+03,0.402442E+03,0.417654E+03,0.438710E+03,0.476573E+03
0.635035E-01,0.822977E+07,0.250485E+03,0.403030E+03,0.403928E+03,0.434742E+03,0.445564E+03,0.511197E+03,0.403030E+03,0.418491E+03,0.439894E+03,0.478380E+03
0.645445E-01,0.836298E+07,0.250611E+03,0.403030E+03,0.403942E+03,0.435256E+03,0.446252E+03,0.512948E+03,0.403030E+03,0.418742E+03,0.440490E+03,0.479600E+03
